gene	head	arms	legs	pelvis	fn	ls	frak	oto	heel	height	prop	fn2stu	ls2stu	fa2stu	thalamus	caudate	putamen	pallidum	hippocampus	amygdala	accumbens	chr	gene_start	gene_end
TAS1R1	0.33412	0.7353	1.1552	0.80194	1.4659	1.1338	-0.54759	-0.40506	3.6395	7.9989	0.0027162	1.7903	0.55293	0.89918	0.11188	1.812	-0.10774	-0.013176	0.86193	1.8946	0.27836	1	6614987	6639817
ZBTB48	0.79506	0.29249	0.7284	0.69645	1.8004	1.3728	-0.61258	-0.39904	5.1234	7.8847	1.1097	1.5675	0.33459	1.0751	0.50339	1.7057	0.078152	0.80875	0.59705	2.2833	0.7623	1	6640051	6649340
PHF13	1.6407	-0.70883	-0.22151	0.61017	1.3473	1.4319	-0.47267	0.18205	7.4062	4.9691	3.2347	0.40625	0.050788	1.4459	0.83504	0.41118	0.42828	1.8734	-0.4197	2.4988	0.97208	1	6673756	6684093
KLHL21	1.6334	-0.43186	-0.19004	0.65848	1.3762	1.4139	-0.57237	0.17576	7.7949	4.7285	3.1816	0.41623	0.079851	1.3101	0.75468	0.3361	0.52094	1.786	-0.14934	2.7014	1.0296	1	6650784	6662958
THAP3	1.7647	-0.24749	0.022701	0.88916	1.4098	1.4883	-0.6983	-0.14168	8.158	4.5962	3.1767	0.15047	0.16824	1.2499	0.54602	0.26906	0.43831	1.8526	-0.34775	2.7313	0.71534	1	6684925	6695646
DNAJC11	2.5525	0.24844	0.58959	1.8147	1.2548	2.134	0.27925	-0.22907	7.6849	4.4997	3.2755	1.0394	-0.54633	0.59409	0.78212	0.32472	0.52854	1.6557	0.78018	2.4593	0.18695	1	6694228	6761966
CAMTA1	0.26068	0.55676	-0.99357	-0.53918	-0.71454	-0.049075	0.11044	0.95606	4.7917	7.9042	3.0779	1.9784	0.21536	1.3204	3.1824	0.23192	1.5423	1.9448	-0.40835	2.1554	1.9263	1	6845384	7829766
VAMP3	0.48651	0.15038	-1.087	1.3125	-1.1584	0.84117	-0.47131	1.7645	0.35171	7.9082	1.7511	-0.84745	-1.1576	-0.16067	2.3022	1.0337	1.4221	1.2373	-0.6526	-1.1675	0.76866	1	7831329	7841492
PER3	1.1157	0.057714	-1.3789	0.98832	-1.5501	0.78857	-0.47489	1.2552	0.77406	7.8653	1.6044	-0.54236	-0.22677	-0.42215	2.1824	2.2955	1.2936	1.537	-0.23542	-1.4795	0.5063	1	7844413	7905241
UTS2	0.19221	-0.71694	-0.57189	0.83372	-1.6592	0.24655	0.81232	-0.17316	1.3186	8.0094	0.259	-0.96429	0.18949	-0.73386	1.8095	2.1079	1.2252	1.654	0.028201	0.00085336	0.48691	1	7907672	7913551
TNFRSF9	0.83967	0.61763	0.31176	-0.5878	-1.0694	0.90054	1.2233	0.67079	1.0296	8.0977	0.80938	-1.796	-1.257	-0.24485	0.79627	0.87485	1.6957	0.52243	0.20486	-0.36029	0.35158	1	7975931	8003225
PARK7	1.0304	0.5107	0.7658	-0.33621	-0.26166	0.9482	0.87468	1.1163	1.0218	8.2115	0.80121	-2.2029	-1.3145	-0.33201	0.57211	1.0879	1.942	-0.13956	0.2917	-0.67021	-0.085002	1	8021714	8045342
ERRFI1	0.30955	-0.3919	0.52198	-0.24295	0.23693	0.51272	0.51464	1.1259	0.14235	7.8847	-0.052481	-2.0222	-1.2992	-0.32605	1.1793	1.257	1.5094	-0.1003	0.097815	-2.5325	0.19426	1	8071779	8086393
SLC45A1	2.3626	1.7527	3.1103	1.9718	0.68889	1.3059	-0.12002	3.1124	8.7915	6.7804	1.5132	1.4196	0.67557	0.5885	1.9945	1.2365	0.9133	-0.20156	-0.95001	0.71771	0.68064	1	8378171	8404227
RERE	3.8734	2.9195	3.1093	2.0483	1.0068	2.7747	0.17538	2.1449	8.5581	6.1094	1.3664	1.4509	2.5093	1.4172	1.9207	0.83521	1.6786	0.39684	-0.65918	1.3321	0.3812	1	8412464	8877699
ENO1	0.86068	-0.43901	0.069281	0.22324	-1.0011	-0.21726	-0.35689	-0.10242	7.6474	3.0812	1.0537	-1.5044	-0.81849	-1.3722	-0.0085969	-0.28406	0.58234	-0.077655	-0.45188	0.89727	-0.17627	1	8921059	8939151
CA6	2.5669	0.94663	1.371	2.744	-0.079557	2.7501	0.88446	0.7997	6.717	1.575	1.1977	1.0316	0.62829	0.27218	-0.010334	2.8095	0.39499	0.73747	-0.1608	-0.014644	0.71986	1	9005893	9035151
