gene	head	arms	legs	pelvis	fn	ls	breadth	peak	min_z	specificity	layer	chr	gene_start	gene_end
UBE2J2	0.24947	1.6527	1.6	0.60021	-1.5128	-0.89332	0	1.6527	-1.5128	0.05269999999999997	rest	1	1189292	1209234
SCNN1D	0.085116	1.6737	1.5654	0.52766	-1.4745	-0.95864	0	1.6737	-1.4745	0.10830000000000006	rest	1	1215816	1227409
PUSL1	1.1547	1.7121	1.7902	0.74774	-1.4669	-0.26331	0	1.7902	-1.4669	0.07810000000000006	rest	1	1243962	1247057
ACAP3	2.4044	1.471	1.8899	0.79414	-1.1467	0.38836	1	2.4044	-1.1467	0.5145	rest	1	1227764	1243304
CPTP	2.4415	1.5735	1.9318	0.83577	-1.3574	0.41895	1	2.4415	-1.3574	0.5097	rest	1	1260136	1264276
TAS1R3	2.5384	1.3887	1.8761	0.76179	-1.2231	0.44289	1	2.5384	-1.2231	0.6623000000000001	rest	1	1266726	1269844
CPSF3L	2.7387	1.12	1.5754	0.61371	-1.1408	0.79835	1	2.7387	-1.1408	1.1633000000000002	rest	1	1246965	1260067
DVL1	2.7014	1.031	1.2552	0.47569	-0.8791	1.0959	1	2.7014	-0.8791	1.4462	rest	1	1270658	1284509
MXRA8	2.6639	1.0079	1.1562	0.44126	-0.6886	1.1135	1	2.6639	-0.6886	1.5077	rest	1	1288071	1297183
AURKAIP1	2.5221	0.69455	0.90773	0.076917	-0.63589	0.682	1	2.5221	-0.63589	1.61437	rest	1	1309110	1310818
CCNL2	2.4276	0.90548	1.1097	1.4004	-0.047851	1.6541	1	2.4276	-0.047851	0.7735000000000001	rest	1	1321091	1334718
TMEM88B	2.1974	0.92329	1.3151	1.7485	0.048076	1.8823	1	2.1974	0.048076	0.31509999999999994	rest	1	1361508	1363167
MRPL20	2.2031	0.83889	1.2189	1.6753	-0.19578	1.9	1	2.2031	-0.19578	0.30310000000000015	rest	1	1337276	1342693
VWA1	2.211	0.76415	1.0935	1.6004	-0.41041	2.014	2	2.211	-0.41041	0.19700000000000006	rest	1	1370903	1378262
ATAD3C	2.0178	1.5026	1.2794	1.7257	0.15236	2.0989	2	2.0989	0.15236	0.08110000000000017	rest	1	1378152	1405538
ANKRD65	2.0665	1.0081	1.2689	1.8158	-0.36511	2.1609	2	2.1609	-0.36511	0.09439999999999982	rest	1	1353800	1356824
ATAD3B	0.48975	1.6953	0.45934	0.64189	0.74062	0.72206	0	1.6953	0.45934	0.9546800000000001	rest	1	1407139	1444852
ATAD3A	0.27832	1.5766	0.81016	0.87771	0.73249	0.15946	0	1.5766	0.15946	0.69889	rest	1	1447523	1470067
TMEM240	1.2372	1.901	1.1371	1.1996	0.53453	-0.092304	0	1.901	-0.092304	0.6638	rest	1	1470158	1475740
SSU72	0.92984	1.5725	1.0834	0.61728	0.57722	0.5144	0	1.5725	0.5144	0.4891000000000001	rest	1	1477053	1510262
MIB2	0.29991	0.12546	1.5792	-0.60817	1.1773	1.3863	0	1.5792	-0.60817	0.19289999999999985	rest	1	1550795	1565990
C1orf233	-0.13137	-0.53581	1.0762	-0.8903	0.81912	1.168	0	1.168	-0.8903	0.09179999999999988	rest	1	1533388	1535476
MMP23B	-0.24406	-1.1842	0.92673	-1.2406	0.83598	0.10898	0	0.92673	-1.2406	0.09075000000000011	rest	1	1567060	1570030
CDK11B	0.38309	-1.7698	-1.32	0.45193	0.49324	-0.58989	0	0.49324	-1.7698	0.04131000000000001	rest	1	1571100	1590473
SLC35E2B	0.60713	-2.0732	-1.3998	0.40042	0.47592	-0.46493	0	0.60713	-2.0732	0.13120999999999994	rest	1	1591486	1624243
CDK11A	1.7018	0.25603	0.91982	2.032	-0.037153	1.4215	1	2.032	-0.037153	0.33020000000000005	rest	1	1633822	1655999
SLC35E2	1.165	1.3482	0.96985	1.9854	-0.34317	1.3047	0	1.9854	-0.34317	0.6372	rest	1	1656277	1677438
NADK	0.62789	1.5473	0.864	1.7598	-0.27423	0.71778	0	1.7598	-0.27423	0.21250000000000013	rest	1	1682671	1711508
GNB1	0.73542	1.7054	0.79746	1.6505	-0.28458	0.48163	0	1.7054	-0.28458	0.05489999999999995	rest	1	1716725	1822552
CALML6	1.1637	1.258	0.7871	1.5866	0.0030206	0.92435	0	1.5866	0.0030206	0.3286	rest	1	1846266	1848733
TMEM52	1.9425	0.8742	1.1213	1.9952	0.16404	1.5844	0	1.9952	0.16404	0.05270000000000019	rest	1	1849029	1850740
CFAP74	0.61953	0.39985	0.37792	1.087	0.11017	0.47383	0	1.087	0.11017	0.46746999999999994	rest	1	1853390	1935276
GABRD	-1.2797	0.83272	0.87146	1.1136	0.81186	0.13142	0	1.1136	-1.2797	0.2421399999999999	rest	1	1950768	1962192
PRKCZ	-1.6353	0.57833	-1.3505	-0.93497	1.3276	0.1255	0	1.3276	-1.6353	0.7492699999999999	rest	1	1981909	2116834
LOC100506504	-1.6934	0.77617	-0.9064	-0.39285	1.6479	-0.028804	0	1.6479	-1.6934	0.8717299999999999	rest	1	2113250	2115812
C1orf86	-1.892	0.18894	-0.63879	-0.43456	1.2633	-0.62972	0	1.2633	-1.892	1.07436	rest	1	2115899	2144159
SKI	-1.9197	0.49579	0.61844	0.10282	0.61272	0.23056	0	0.61844	-1.9197	0.005719999999999947	rest	1	2160134	2241652
MORN1	1.3866	0.32218	0.26192	-0.14907	-1.6332	-0.97387	0	1.3866	-1.6332	1.0644200000000001	rest	1	2251719	2323190
RER1	0.12855	0.35957	0.25804	-0.58492	-1.4063	-0.39198	0	0.35957	-1.4063	0.10153000000000001	rest	1	2323214	2336883
PEX10	1.4564	1.1633	-0.44516	-0.79444	-0.81684	-0.62884	0	1.4564	-0.81684	0.2930999999999999	rest	1	2336241	2344010
PLCH2	1.3423	0.038613	-0.55583	-0.93378	-0.0054602	-1.111	0	1.3423	-1.111	1.303687	rest	1	2407754	2436964
PANK4	-1.9262	-0.74844	-1.1944	-0.8364	-1.4437	-2.1716	0	-0.74844	-2.1716	0.08796000000000004	rest	1	2439975	2458061
HES5	-2.116	-0.70146	-1.0731	-0.56143	-1.2981	-1.4451	0	-0.56143	-2.116	0.14003	rest	1	2460184	2461684
TNFRSF14	-2.4199	-1.1035	-1.0032	-0.52863	-1.6094	-0.92497	0	-0.52863	-2.4199	0.3963399999999999	rest	1	2487291	2495268
FAM213B	-2.2682	-1.1892	-1.0576	-0.75404	-1.754	-0.6449	0	-0.6449	-2.2682	0.10914000000000001	rest	1	2517899	2522908
MMEL1	-1.5598	-0.92752	-1.4579	-1.1168	-1.5405	-0.52836	0	-0.52836	-1.5598	0.39915999999999996	rest	1	2522078	2564499
TTC34	-0.78887	-0.23003	-1.75	-0.19748	-0.36242	-0.50198	0	-0.19748	-1.75	0.03255000000000002	rest	1	2572807	2706230
ACTRT2	-0.85159	1.6461	-0.0157	1.3137	0.39609	0.47131	0	1.6461	-0.85159	0.3323999999999998	rest	1	2938046	2939467
PRDM16	1.8271	3.3086	2.4843	3.1036	2.7004	1.017	4	3.3086	1.017	0.20500000000000007	rest	1	2985565	3355185
ARHGEF16	0.40397	0.47185	0.89536	1.0878	-0.53175	0.21883	0	1.0878	-0.53175	0.19244000000000006	rest	1	3371147	3397677
MEGF6	-1.1029	-0.41618	-0.59701	-1.0619	0.5043	-0.94813	0	0.5043	-1.1029	0.92048	rest	1	3404506	3528059
TPRG1L	-0.2415	-0.1058	-0.55899	0.011368	1.361	-0.11715	0	1.361	-0.55899	1.349632	rest	1	3541556	3546695
TP73	-1.047	-0.56694	-0.68247	0.36278	1.0248	0.66858	0	1.0248	-1.047	0.35622	rest	1	3569129	3652765
WRAP73	-0.62048	-0.019963	-0.006949	-0.20149	0.80188	-0.87903	0	0.80188	-0.87903	0.808829	rest	1	3547331	3566671
CCDC27	0.15264	-2.0134	-1.6856	-1.5715	-0.24281	0.068647	0	0.15264	-2.0134	0.083993	rest	1	3668965	3688209
SMIM1	0.19889	-1.7547	-1.1721	-2.2378	-0.31593	-0.29271	0	0.19889	-2.2378	0.49160000000000004	rest	1	3689352	3692546
LRRC47	0.032841	-0.07457	0.98463	-1.4211	0.95901	-0.53772	0	0.98463	-1.4211	0.025619999999999976	rest	1	3696784	3713068
CEP104	-0.091557	0.10951	1.9495	-0.92686	1.2455	-0.36552	0	1.9495	-0.92686	0.704	rest	1	3728645	3773797
DFFB	-0.075134	-0.037294	1.9566	-0.71139	1.2825	-0.40906	0	1.9566	-0.71139	0.6740999999999999	rest	1	3773845	3801993
C1orf174	-0.67745	-0.27262	1.6845	-0.84063	0.95313	-0.69092	0	1.6845	-0.84063	0.7313700000000001	rest	1	3805697	3816857
AJAP1	-0.39712	-0.14935	-0.46058	-0.34059	-1.8564	-0.044144	0	-0.044144	-1.8564	0.10520600000000001	rest	1	4715105	4843851
NPHP4	-0.43118	0.69584	-0.49831	-0.10685	0.0092394	-0.45938	0	0.69584	-0.49831	0.6866006	rest	1	5922870	6052618
KCNAB2	-0.34942	1.2096	-0.63461	-0.26209	-0.11265	-1.1989	0	1.2096	-1.1989	1.32225	rest	1	6052358	6161253
CHD5	-0.73839	-0.22163	0.30241	-0.83382	-0.77	-0.7557	0	0.30241	-0.83382	0.5240400000000001	rest	1	6161847	6240194
RNF207	1.3839	-0.57891	0.22474	-0.57825	-0.6749	-0.79398	0	1.3839	-0.79398	1.15916	rest	1	6266189	6281359
RPL22	1.6356	-0.56034	0.21138	-0.67936	-0.79345	-0.79342	0	1.6356	-0.79345	1.42422	rest	1	6245080	6259679
HES3	1.3459	-1.0452	-0.51921	-0.13874	-2.7604	-0.95228	0	1.3459	-2.7604	1.4846400000000002	rest	1	6304252	6305638
ICMT	1.2448	-0.42763	-0.73463	0.29439	-2.6387	-1.145	0	1.2448	-2.6387	0.95041	rest	1	6281253	6296044
GPR153	0.96613	-0.48135	0.21759	0.40164	0.96687	-0.54031	0	0.96687	-0.54031	0.0007399999999999629	rest	1	6307406	6321035
ACOT7	1.2708	-0.16351	0.32358	0.52838	1.4449	0.59421	0	1.4449	-0.16351	0.17410000000000014	rest	1	6324332	6453826
ESPN	0.84845	-0.87211	-0.8298	-1.3706	0.73656	-0.84759	0	0.84845	-1.3706	0.11189000000000004	rest	1	6484836	6521004
HES2	0.83064	-0.84235	-0.6089	-1.5319	0.83494	-1.2216	0	0.83494	-1.5319	0.0042999999999999705	rest	1	6475292	6484724
TNFRSF25	-0.28663	-0.93367	-0.68052	-1.0877	-1.2705	-0.14557	0	-0.14557	-1.2705	0.14106	rest	1	6520787	6527432
PLEKHG5	0.2068	0.26183	0.91025	0.33571	0.81764	0.7357	0	0.91025	0.2068	0.09260999999999997	rest	1	6526152	6580121
NOL9	0.39144	0.63264	1.0892	0.78118	1.3682	1.0855	0	1.3682	0.39144	0.27900000000000014	rest	1	6581407	6614658
TAS1R1	0.33412	0.7353	1.1552	0.80194	1.4659	1.1338	0	1.4659	0.33412	0.3107	rest	1	6614987	6639817
ZBTB48	0.79506	0.29249	0.7284	0.69645	1.8004	1.3728	0	1.8004	0.29249	0.4276	rest	1	6640051	6649340
PHF13	1.6407	-0.70883	-0.22151	0.61017	1.3473	1.4319	0	1.6407	-0.70883	0.2088000000000001	rest	1	6673756	6684093
KLHL21	1.6334	-0.43186	-0.19004	0.65848	1.3762	1.4139	0	1.6334	-0.43186	0.21950000000000003	rest	1	6650784	6662958
THAP3	1.7647	-0.24749	0.022701	0.88916	1.4098	1.4883	0	1.7647	-0.24749	0.2764	rest	1	6684925	6695646
DNAJC11	2.5525	0.24844	0.58959	1.8147	1.2548	2.134	2	2.5525	0.24844	0.4185000000000003	rest	1	6694228	6761966
CAMTA1	0.26068	0.55676	-0.99357	-0.53918	-0.71454	-0.049075	0	0.55676	-0.99357	0.29608	rest	1	6845384	7829766
VAMP3	0.48651	0.15038	-1.087	1.3125	-1.1584	0.84117	0	1.3125	-1.1584	0.47133	rest	1	7831329	7841492
PER3	1.1157	0.057714	-1.3789	0.98832	-1.5501	0.78857	0	1.1157	-1.5501	0.12737999999999994	rest	1	7844413	7905241
UTS2	0.19221	-0.71694	-0.57189	0.83372	-1.6592	0.24655	0	0.83372	-1.6592	0.58717	rest	1	7907672	7913551
TNFRSF9	0.83967	0.61763	0.31176	-0.5878	-1.0694	0.90054	0	0.90054	-1.0694	0.06086999999999998	rest	1	7975931	8003225
PARK7	1.0304	0.5107	0.7658	-0.33621	-0.26166	0.9482	0	1.0304	-0.33621	0.08219999999999994	rest	1	8021714	8045342
ERRFI1	0.30955	-0.3919	0.52198	-0.24295	0.23693	0.51272	0	0.52198	-0.3919	0.009260000000000046	rest	1	8071779	8086393
SLC45A1	2.3626	1.7527	3.1103	1.9718	0.68889	1.3059	2	3.1103	0.68889	0.7477	rest	1	8378171	8404227
RERE	3.8734	2.9195	3.1093	2.0483	1.0068	2.7747	5	3.8734	1.0068	0.7641	rest	1	8412464	8877699
ENO1	0.86068	-0.43901	0.069281	0.22324	-1.0011	-0.21726	0	0.86068	-1.0011	0.63744	rest	1	8921059	8939151
CA6	2.5669	0.94663	1.371	2.744	-0.079557	2.7501	3	2.7501	-0.079557	0.006099999999999994	rest	1	9005893	9035151
SLC2A7	0.34803	-1.35	-0.95589	-0.12222	0.97691	0.30129	0	0.97691	-1.35	0.6288799999999999	rest	1	9063359	9086404
SLC2A5	0.55457	-1.2472	-0.74736	-0.2229	1.3995	0.63607	0	1.3995	-1.2472	0.7634299999999999	rest	1	9097005	9131763
GPR157	0.10991	-0.41622	-1.3275	-0.62299	0.84189	0.59899	0	0.84189	-1.3275	0.2429	rest	1	9163472	9189229
H6PD	0.9702	-0.8492	-0.041085	-0.65005	1.8207	-0.45549	0	1.8207	-0.8492	0.8505	rest	1	9294822	9331396
SPSB1	1.4052	-1.3797	-1.4635	-2.0326	0.25064	-0.99255	0	1.4052	-2.0326	1.15456	rest	1	9335202	9429591
SLC25A33	1.2088	0.5465	0.89206	-0.44538	0.72856	-0.58321	0	1.2088	-0.58321	0.31674000000000013	rest	1	9599528	9642831
TMEM201	1.2062	-0.19477	-0.46749	-0.21054	0.99971	-0.15871	0	1.2062	-0.46749	0.20648999999999995	rest	1	9648932	9674935
PIK3CD	0.30838	0.42319	1.7828	-1.1129	1.5476	-0.45046	0	1.7828	-1.1129	0.23519999999999985	rest	1	9711789	9789172
CLSTN1	1.409	0.75329	1.4237	-0.392	1.444	0.485	0	1.444	-0.392	0.020299999999999985	rest	1	9789079	9884550
CTNNBIP1	1.3339	0.60415	-0.34861	0.03588	1.3231	1.3641	0	1.3641	-0.34861	0.030200000000000005	rest	1	9908334	9970316
NMNAT1	-0.047476	1.3733	0.50875	0.78645	1.9915	1.1662	0	1.9915	-0.047476	0.6182000000000001	rest	1	10003486	10045556
LZIC	0.0077731	1.3032	0.087541	0.7384	2.0841	1.2419	1	2.0841	0.0077731	0.7808999999999999	rest	1	9982168	10003460
RBP7	-0.95988	1.0258	1.0542	0.63699	1.2242	0.30173	0	1.2242	-0.95988	0.16999999999999993	rest	1	10057255	10076078
UBE4B	0.10192	0.718	1.0372	0.55073	1.2453	-0.10608	0	1.2453	-0.10608	0.20810000000000017	rest	1	10093041	10241297
KIF1B	1.9897	2.0056	2.6289	0.48292	1.2974	-0.099034	2	2.6289	-0.099034	0.6233	rest	1	10270606	10441664
PGD	2.391	2.3834	2.9898	0.40462	1.1919	0.33105	3	2.9898	0.33105	0.5987999999999998	rest	1	10458884	10480565
APITD1	1.3788	2.2663	2.6837	0.21421	0.37656	-0.20228	2	2.6837	-0.20228	0.41739999999999977	rest	1	10489944	10510239
APITD1-CORT	1.168	2.2768	2.6815	0.18876	0.20846	-0.40964	2	2.6815	-0.40964	0.40470000000000006	rest	1	10490159	10512060
CORT	-0.13823	1.8302	1.9736	0.26639	-0.2638	-0.44131	0	1.9736	-0.44131	0.14339999999999997	rest	1	10509776	10512060
PEX14	0.41165	2.138	2.1745	0.59791	0.71099	0.83714	2	2.1745	0.41165	0.0365000000000002	rest	1	10535003	10690815
DFFA	0.68515	3.1121	3.2195	0.98944	1.046	0.83178	2	3.2195	0.68515	0.10740000000000016	rest	1	10520588	10532613
CASZ1	-0.49403	-0.97753	-0.56476	0.43619	0.93139	-0.80374	0	0.93139	-0.97753	0.49520000000000003	rest	1	10696661	10856733
C1orf127	0.23841	-0.43058	0.15781	0.72733	-0.44993	0.90215	0	0.90215	-0.44993	0.17481999999999998	rest	1	11006530	11042094
TARDBP	1.4886	1.1546	1.8042	2.1242	0.7822	1.9914	1	2.1242	0.7822	0.13280000000000003	rest	1	11072462	11085549
MASP2	1.5655	1.0458	2.1341	2.3651	1.1569	1.8997	2	2.3651	1.0458	0.23099999999999987	rest	1	11086580	11107296
SRM	1.4794	0.32062	2.1971	2.1639	1.5074	1.0186	2	2.1971	0.32062	0.033199999999999896	rest	1	11114649	11120091
EXOSC10	1.2046	1.2863	2.4993	2.4973	2.2258	1.3149	3	2.4993	1.2046	0.0019999999999997797	rest	1	11126675	11159961
MTOR	0.74628	1.7291	2.8332	3.0547	2.7825	1.9307	3	3.0547	0.74628	0.2214999999999998	rest	1	11166588	11322614
ANGPTL7	0.88299	1.7421	2.8722	3.3752	2.9453	2.2393	4	3.3752	0.88299	0.42989999999999995	rest	1	11249346	11256038
UBIAD1	-0.47777	1.167	2.1345	1.408	1.5346	0.7411	1	2.1345	-0.47777	0.5999000000000001	rest	1	11333255	11348491
PTCHD2	0.76761	-0.90043	-0.58164	-1.9529	-1.572	-1.1889	0	0.76761	-1.9529	1.34925	rest	1	11539295	11597640
FBXO44	0.73181	0.39248	2.1002	-0.43983	0.2438	-1.2318	1	2.1002	-1.2318	1.3683900000000002	rest	1	11714432	11723384
FBXO6	0.95818	0.85921	2.1242	-0.46101	0.45112	-1.5568	1	2.1242	-1.5568	1.16602	rest	1	11724150	11734411
FBXO2	0.86548	0.97679	1.8953	-0.63259	0.50194	-1.5278	0	1.8953	-1.5278	0.9185099999999999	rest	1	11707924	11714888
DRAXIN	0.27285	1.2981	0.50827	-1.3993	0.080662	0.32883	0	1.2981	-1.3993	0.78983	rest	1	11751781	11780336
MAD2L2	0.20372	1.3549	0.50124	-1.239	-0.19493	0.48472	0	1.3549	-1.239	0.85366	rest	1	11734537	11751678
AGTRAP	-1.1055	0.77932	-1.749	-1.6916	-0.15362	0.81189	0	0.81189	-1.749	0.03256999999999999	rest	1	11796142	11810828
C1orf167	1.7032	0.43143	1.2268	0.3086	-0.41122	-0.53138	0	1.7032	-0.53138	0.47640000000000016	rest	1	11823827	11849642
CLCN6	1.1909	0.099789	1.2646	-0.11649	-0.79819	-0.26085	0	1.2646	-0.79819	0.07369999999999988	rest	1	11866153	11903201
MTHFR	1.1087	0.11812	1.1986	-0.18774	-0.71019	-0.21575	0	1.1986	-0.71019	0.08990000000000009	rest	1	11845787	11866160
NPPA	0.2371	-0.16458	0.43178	-1.4945	-1.7192	-1.1763	0	0.43178	-1.7192	0.19468	rest	1	11905766	11907840
NPPB	0.058981	-0.13834	-0.36143	-1.5679	-1.9705	-0.53658	0	0.058981	-1.9705	0.197321	rest	1	11917521	11918992
PLOD1	0.26826	1.0696	0.033837	-1.1664	-1.346	-1.0581	0	1.0696	-1.346	0.8013400000000002	rest	1	11994724	12035599
KIAA2013	0.41807	1.2789	0.051567	-0.98908	-1.3261	-0.93197	0	1.2789	-1.3261	0.86083	rest	1	11979645	11986485
MFN2	-0.81337	1.3286	0.33015	-1.1978	-1.5707	-1.9674	0	1.3286	-1.9674	0.9984500000000001	rest	1	12040238	12073572
MIIP	-1.0825	0.74228	-0.13881	-1.3448	-1.8936	-0.97803	0	0.74228	-1.8936	0.88109	rest	1	12079299	12092106
TNFRSF8	-0.39794	0.09971	-0.33075	0.19298	-0.08053	-0.3933	0	0.19298	-0.39794	0.09327000000000002	rest	1	12123434	12204264
TNFRSF1B	1.9085	1.2088	0.53274	2.4498	0.81371	1.195	1	2.4498	0.53274	0.5413000000000001	rest	1	12227044	12269279
VPS13D	-0.56848	0.59459	1.3912	0.21599	-0.022515	1.0844	0	1.3912	-0.56848	0.30679999999999996	rest	1	12290101	12572099
DHRS3	-0.96104	-0.98851	-0.68439	-1.0997	-0.47807	-1.3409	0	-0.47807	-1.3409	0.20632000000000006	rest	1	12627939	12677820
AADACL4	-0.52722	-0.67655	-0.40988	0.15829	-0.039693	0.2493	0	0.2493	-0.67655	0.09101000000000001	rest	1	12704566	12727097
AADACL3	-0.97563	0.07548	-1.1304	-0.49665	-0.50841	0.57857	0	0.57857	-1.1304	0.50309	rest	1	12776118	12788726
C1orf158	-0.63814	-0.16382	-2.0696	-0.35197	-0.55822	-0.48872	0	-0.16382	-2.0696	0.18815	rest	1	12806163	12821102
PRAMEF12	-0.71615	-0.10183	-1.0011	-0.58582	-0.36222	-0.85456	0	-0.10183	-1.0011	0.26039	rest	1	12834984	12838049
PRAMEF1	-0.63236	0.50182	0.75869	-0.63957	0.65832	-1.3534	0	0.75869	-1.3534	0.10036999999999996	rest	1	12851546	12856777
PRAMEF11	1.1867	0.22088	0.21109	-0.38697	-0.52401	0.036276	0	1.1867	-0.52401	0.9658200000000001	rest	1	12884468	12891264
PRAMEF2	1.1921	0.14814	0.18863	-0.44046	-0.60685	0.021577	0	1.1921	-0.60685	1.0034699999999999	rest	1	12916941	12921764
HNRNPCL1	1.184	0.15417	0.14052	-0.50693	-0.71257	-0.0282	0	1.184	-0.71257	1.02983	rest	1	12907261	12908578
PRAMEF4	-0.10094	-0.055174	-0.99775	-0.1143	-0.099426	-0.96369	0	-0.055174	-0.99775	0.044252	rest	1	12939033	12946025
PRAMEF7	-0.10094	-0.055174	-0.99775	-0.1143	-0.099426	-0.96369	0	-0.055174	-0.99775	0.044252	rest	1	12976467	12980300
PRAMEF25	1.3957	0.63233	2.1247	1.3491	2.3581	1.1835	2	2.3581	0.63233	0.23340000000000005	rest	1	13140447	13145000
HNRNPCL2	-0.109	0.88295	0.96752	-0.0038467	-0.19145	-1.6387	0	0.96752	-1.6387	0.08457000000000003	rest	1	13182960	13184326
PRAMEF5	-0.13906	1.0455	0.73589	1.4223	2.0456	0.84126	1	2.0456	-0.13906	0.6233	rest	1	13359819	13369057
PRAMEF16	-0.4111	-2.1015	-0.54697	-0.74744	0.095145	-0.33636	0	0.095145	-2.1015	0.43150499999999997	rest	1	13495254	13498260
LOC391003	-0.4111	-2.1015	-0.54697	-0.74744	0.095145	-0.33636	0	0.095145	-2.1015	0.43150499999999997	rest	1	13474053	13477569
LRRC38	0.18095	1.049	1.359	2.9574	1.1628	0.90868	1	2.9574	0.18095	1.5983999999999998	rest	1	13801445	13840242
PDPN	-1.2643	-0.68301	0.49201	-0.71869	-0.25809	-1.2577	0	0.49201	-1.2643	0.7501	rest	1	13910252	13944452
PRDM2	0.48621	1.8006	1.4496	1.5685	1.7891	1.779	0	1.8006	0.48621	0.011500000000000066	rest	1	14026714	14151574
KAZN	0.063559	0.16398	1.2992	0.39796	1.6173	-0.27142	0	1.6173	-0.27142	0.31810000000000005	rest	1	14219646	15444544
TMEM51	0.49596	0.25776	-0.089154	-1.3218	-0.24387	0.061806	0	0.49596	-1.3218	0.23820000000000002	rest	1	15479028	15546974
C1orf195	1.2729	0.63324	0.03132	-0.85342	0.17108	0.28691	0	1.2729	-0.85342	0.6396599999999999	rest	1	15490692	15498120
FHAD1	-0.43593	0.75296	0.72661	1.5517	-0.23783	-0.6921	0	1.5517	-0.6921	0.7987400000000001	rest	1	15573730	15724767
EFHD2	-0.052425	-0.70801	-0.72069	0.18347	0.50702	-0.29352	0	0.50702	-0.72069	0.32355	rest	1	15736391	15756839
CTRC	-0.1745	-1.3491	-1.2994	-0.37574	-0.22889	-0.66182	0	-0.1745	-1.3491	0.05439000000000002	rest	1	15764938	15773153
CELA2A	0.41374	-2.2385	-0.33256	-0.27604	-1.4754	-0.86135	0	0.41374	-2.2385	0.6897800000000001	rest	1	15783223	15798586
CELA2B	-0.0039686	-2.8793	0.39911	0.007147	-0.64959	-0.44661	0	0.39911	-2.8793	0.391963	rest	1	15802596	15817895
CASP9	-0.47455	-1.2047	0.47415	0.46239	0.1908	0.41927	0	0.47415	-1.2047	0.011759999999999993	rest	1	15817896	15851407
DNAJC16	-0.62642	-1.3203	0.42283	0.43211	0.14979	0.45888	0	0.45888	-1.3203	0.026770000000000016	rest	1	15853343	15898228
AGMAT	-1.4302	-1.6172	1.7044	1.3496	1.4381	1.0314	0	1.7044	-1.6172	0.2663	rest	1	15898194	15911605
DDI2	-1.1584	-1.0444	1.7764	1.4466	1.5017	1.0251	0	1.7764	-1.1584	0.27469999999999994	rest	1	15943953	15995539
RSC1A1	-1.2226	-0.83021	1.8041	1.5146	1.4918	1.0774	0	1.8041	-1.2226	0.2895000000000001	rest	1	15986364	15988217
PLEKHM2	-0.62167	-1.4856	1.8056	1.3353	1.5938	0.27914	0	1.8056	-1.4856	0.2118	rest	1	16010632	16061264
SLC25A34	-0.70124	-1.2558	1.899	1.1937	1.7882	-0.023838	0	1.899	-1.2558	0.11080000000000001	rest	1	16062721	16067884
TMEM82	-0.80554	-1.393	1.7908	0.70275	1.4319	-0.39509	0	1.7908	-1.393	0.3589	rest	1	16068987	16074292
FBLIM1	-1.3323	0.10427	1.2281	0.60298	0.98669	-0.17457	0	1.2281	-1.3323	0.24141	rest	1	16083107	16113089
UQCRHL	2.0258	1.313	1.932	1.6229	1.5805	1.5445	1	2.0258	1.313	0.09379999999999988	rest	1	16133657	16134194
